"""Country Code""",Region,IncomeGroup,TableName,
BOL,Latin America & Caribbean,Lower middle income,Bolivia,"INSERT INTO country VALUES('BOL','Latin America & Caribbean','Lower middle income','Bolivia');"
BRA,Latin America & Caribbean,Upper middle income,Brazil,"INSERT INTO country VALUES('BRA','Latin America & Caribbean','Upper middle income','Brazil');"
BRB,Latin America & Caribbean,High income,Barbados,"INSERT INTO country VALUES('BRB','Latin America & Caribbean','High income','Barbados');"
BRN,East Asia & Pacific,High income,Brunei Darussalam,"INSERT INTO country VALUES('BRN','East Asia & Pacific','High income','Brunei Darussalam');"
BTN,South Asia,Lower middle income,Bhutan,"INSERT INTO country VALUES('BTN','South Asia','Lower middle income','Bhutan');"
BWA,Sub-Saharan Africa,Upper middle income,Botswana,"INSERT INTO country VALUES('BWA','Sub-Saharan Africa','Upper middle income','Botswana');"
CAF,Sub-Saharan Africa,Low income,Central African Republic,"INSERT INTO country VALUES('CAF','Sub-Saharan Africa','Low income','Central African Republic');"
CAN,North America,High income,Canada,"INSERT INTO country VALUES('CAN','North America','High income','Canada');"
CEB,,,Central Europe and the Baltics,"INSERT INTO country VALUES('CEB','','','Central Europe and the Baltics');"
CHE,Europe & Central Asia,High income,Switzerland,"INSERT INTO country VALUES('CHE','Europe & Central Asia','High income','Switzerland');"
CHI,Europe & Central Asia,High income,Channel Islands,"INSERT INTO country VALUES('CHI','Europe & Central Asia','High income','Channel Islands');"
CHL,Latin America & Caribbean,High income,Chile,"INSERT INTO country VALUES('CHL','Latin America & Caribbean','High income','Chile');"
CHN,East Asia & Pacific,Upper middle income,China,"INSERT INTO country VALUES('CHN','East Asia & Pacific','Upper middle income','China');"
CIV,Sub-Saharan Africa,Lower middle income,Côte d'Ivoire,"INSERT INTO country VALUES('CIV','Sub-Saharan Africa','Lower middle income','Côte d'Ivoire');"
CMR,Sub-Saharan Africa,Lower middle income,Cameroon,"INSERT INTO country VALUES('CMR','Sub-Saharan Africa','Lower middle income','Cameroon');"
COD,Sub-Saharan Africa,Low income,"Congo, Dem. Rep.","INSERT INTO country VALUES('COD','Sub-Saharan Africa','Low income','Congo, Dem. Rep.');"
COG,Sub-Saharan Africa,Lower middle income,"Congo, Rep.","INSERT INTO country VALUES('COG','Sub-Saharan Africa','Lower middle income','Congo, Rep.');"
COL,Latin America & Caribbean,Upper middle income,Colombia,"INSERT INTO country VALUES('COL','Latin America & Caribbean','Upper middle income','Colombia');"
COM,Sub-Saharan Africa,Lower middle income,Comoros,"INSERT INTO country VALUES('COM','Sub-Saharan Africa','Lower middle income','Comoros');"
CPV,Sub-Saharan Africa,Lower middle income,Cabo Verde,"INSERT INTO country VALUES('CPV','Sub-Saharan Africa','Lower middle income','Cabo Verde');"
CRI,Latin America & Caribbean,Upper middle income,Costa Rica,"INSERT INTO country VALUES('CRI','Latin America & Caribbean','Upper middle income','Costa Rica');"
CSS,,,Caribbean small states,"INSERT INTO country VALUES('CSS','','','Caribbean small states');"
CUB,Latin America & Caribbean,Upper middle income,Cuba,"INSERT INTO country VALUES('CUB','Latin America & Caribbean','Upper middle income','Cuba');"
CUW,Latin America & Caribbean,High income,Curaçao,"INSERT INTO country VALUES('CUW','Latin America & Caribbean','High income','Curaçao');"
CYM,Latin America & Caribbean,High income,Cayman Islands,"INSERT INTO country VALUES('CYM','Latin America & Caribbean','High income','Cayman Islands');"
CYP,Europe & Central Asia,High income,Cyprus,"INSERT INTO country VALUES('CYP','Europe & Central Asia','High income','Cyprus');"
CZE,Europe & Central Asia,High income,Czech Republic,"INSERT INTO country VALUES('CZE','Europe & Central Asia','High income','Czech Republic');"
DEU,Europe & Central Asia,High income,Germany,"INSERT INTO country VALUES('DEU','Europe & Central Asia','High income','Germany');"
DJI,Middle East & North Africa,Lower middle income,Djibouti,"INSERT INTO country VALUES('DJI','Middle East & North Africa','Lower middle income','Djibouti');"
DMA,Latin America & Caribbean,Upper middle income,Dominica,"INSERT INTO country VALUES('DMA','Latin America & Caribbean','Upper middle income','Dominica');"
DNK,Europe & Central Asia,High income,Denmark,"INSERT INTO country VALUES('DNK','Europe & Central Asia','High income','Denmark');"
DOM,Latin America & Caribbean,Upper middle income,Dominican Republic,"INSERT INTO country VALUES('DOM','Latin America & Caribbean','Upper middle income','Dominican Republic');"
DZA,Middle East & North Africa,Upper middle income,Algeria,"INSERT INTO country VALUES('DZA','Middle East & North Africa','Upper middle income','Algeria');"
EAP,,,East Asia & Pacific (excluding high income),"INSERT INTO country VALUES('EAP','','','East Asia & Pacific (excluding high income)');"
EAR,,,Early-demographic dividend,"INSERT INTO country VALUES('EAR','','','Early-demographic dividend');"
EAS,,,East Asia & Pacific,"INSERT INTO country VALUES('EAS','','','East Asia & Pacific');"
ECA,,,Europe & Central Asia (excluding high income),"INSERT INTO country VALUES('ECA','','','Europe & Central Asia (excluding high income)');"
ECS,,,Europe & Central Asia,"INSERT INTO country VALUES('ECS','','','Europe & Central Asia');"
ECU,Latin America & Caribbean,Upper middle income,Ecuador,"INSERT INTO country VALUES('ECU','Latin America & Caribbean','Upper middle income','Ecuador');"
EGY,Middle East & North Africa,Lower middle income,"Egypt, Arab Rep.","INSERT INTO country VALUES('EGY','Middle East & North Africa','Lower middle income','Egypt, Arab Rep.');"
EMU,,,Euro area,"INSERT INTO country VALUES('EMU','','','Euro area');"
ERI,Sub-Saharan Africa,Low income,Eritrea,"INSERT INTO country VALUES('ERI','Sub-Saharan Africa','Low income','Eritrea');"
ESP,Europe & Central Asia,High income,Spain,"INSERT INTO country VALUES('ESP','Europe & Central Asia','High income','Spain');"
EST,Europe & Central Asia,High income,Estonia,"INSERT INTO country VALUES('EST','Europe & Central Asia','High income','Estonia');"
ETH,Sub-Saharan Africa,Low income,Ethiopia,"INSERT INTO country VALUES('ETH','Sub-Saharan Africa','Low income','Ethiopia');"
EUU,,,European Union,"INSERT INTO country VALUES('EUU','','','European Union');"
FCS,,,Fragile and conflict affected situations,"INSERT INTO country VALUES('FCS','','','Fragile and conflict affected situations');"
FIN,Europe & Central Asia,High income,Finland,"INSERT INTO country VALUES('FIN','Europe & Central Asia','High income','Finland');"
FJI,East Asia & Pacific,Upper middle income,Fiji,"INSERT INTO country VALUES('FJI','East Asia & Pacific','Upper middle income','Fiji');"
FRA,Europe & Central Asia,High income,France,"INSERT INTO country VALUES('FRA','Europe & Central Asia','High income','France');"
FRO,Europe & Central Asia,High income,Faroe Islands,"INSERT INTO country VALUES('FRO','Europe & Central Asia','High income','Faroe Islands');"
FSM,East Asia & Pacific,Lower middle income,"Micronesia, Fed. Sts.","INSERT INTO country VALUES('FSM','East Asia & Pacific','Lower middle income','Micronesia, Fed. Sts.');"
GAB,Sub-Saharan Africa,Upper middle income,Gabon,"INSERT INTO country VALUES('GAB','Sub-Saharan Africa','Upper middle income','Gabon');"
GBR,Europe & Central Asia,High income,United Kingdom,"INSERT INTO country VALUES('GBR','Europe & Central Asia','High income','United Kingdom');"
GEO,Europe & Central Asia,Upper middle income,Georgia,"INSERT INTO country VALUES('GEO','Europe & Central Asia','Upper middle income','Georgia');"
GHA,Sub-Saharan Africa,Lower middle income,Ghana,"INSERT INTO country VALUES('GHA','Sub-Saharan Africa','Lower middle income','Ghana');"
GIB,Europe & Central Asia,High income,Gibraltar,"INSERT INTO country VALUES('GIB','Europe & Central Asia','High income','Gibraltar');"
GIN,Sub-Saharan Africa,Low income,Guinea,"INSERT INTO country VALUES('GIN','Sub-Saharan Africa','Low income','Guinea');"
GMB,Sub-Saharan Africa,Low income,"Gambia, The","INSERT INTO country VALUES('GMB','Sub-Saharan Africa','Low income','Gambia, The');"
GNB,Sub-Saharan Africa,Low income,Guinea-Bissau,"INSERT INTO country VALUES('GNB','Sub-Saharan Africa','Low income','Guinea-Bissau');"
GNQ,Sub-Saharan Africa,Upper middle income,Equatorial Guinea,"INSERT INTO country VALUES('GNQ','Sub-Saharan Africa','Upper middle income','Equatorial Guinea');"
GRC,Europe & Central Asia,High income,Greece,"INSERT INTO country VALUES('GRC','Europe & Central Asia','High income','Greece');"
GRD,Latin America & Caribbean,Upper middle income,Grenada,"INSERT INTO country VALUES('GRD','Latin America & Caribbean','Upper middle income','Grenada');"
GRL,Europe & Central Asia,High income,Greenland,"INSERT INTO country VALUES('GRL','Europe & Central Asia','High income','Greenland');"
GTM,Latin America & Caribbean,Upper middle income,Guatemala,"INSERT INTO country VALUES('GTM','Latin America & Caribbean','Upper middle income','Guatemala');"
GUM,East Asia & Pacific,High income,Guam,"INSERT INTO country VALUES('GUM','East Asia & Pacific','High income','Guam');"
GUY,Latin America & Caribbean,Upper middle income,Guyana,"INSERT INTO country VALUES('GUY','Latin America & Caribbean','Upper middle income','Guyana');"
HIC,,,High income,"INSERT INTO country VALUES('HIC','','','High income');"
HKG,East Asia & Pacific,High income,"Hong Kong SAR, China","INSERT INTO country VALUES('HKG','East Asia & Pacific','High income','Hong Kong SAR, China');"
HND,Latin America & Caribbean,Lower middle income,Honduras,"INSERT INTO country VALUES('HND','Latin America & Caribbean','Lower middle income','Honduras');"
HPC,,,Heavily indebted poor countries (HIPC),"INSERT INTO country VALUES('HPC','','','Heavily indebted poor countries (HIPC)');"
HRV,Europe & Central Asia,High income,Croatia,"INSERT INTO country VALUES('HRV','Europe & Central Asia','High income','Croatia');"
HTI,Latin America & Caribbean,Low income,Haiti,"INSERT INTO country VALUES('HTI','Latin America & Caribbean','Low income','Haiti');"
HUN,Europe & Central Asia,High income,Hungary,"INSERT INTO country VALUES('HUN','Europe & Central Asia','High income','Hungary');"
IBD,,,IBRD only,"INSERT INTO country VALUES('IBD','','','IBRD only');"
IBT,,,IDA & IBRD total,"INSERT INTO country VALUES('IBT','','','IDA & IBRD total');"
IDA,,,IDA total,"INSERT INTO country VALUES('IDA','','','IDA total');"
IDB,,,IDA blend,"INSERT INTO country VALUES('IDB','','','IDA blend');"
IDN,East Asia & Pacific,Lower middle income,Indonesia,"INSERT INTO country VALUES('IDN','East Asia & Pacific','Lower middle income','Indonesia');"
IDX,,,IDA only,"INSERT INTO country VALUES('IDX','','','IDA only');"
IMN,Europe & Central Asia,High income,Isle of Man,"INSERT INTO country VALUES('IMN','Europe & Central Asia','High income','Isle of Man');"
IND,South Asia,Lower middle income,India,"INSERT INTO country VALUES('IND','South Asia','Lower middle income','India');"
IRL,Europe & Central Asia,High income,Ireland,"INSERT INTO country VALUES('IRL','Europe & Central Asia','High income','Ireland');"
IRN,Middle East & North Africa,Upper middle income,"Iran, Islamic Rep.","INSERT INTO country VALUES('IRN','Middle East & North Africa','Upper middle income','Iran, Islamic Rep.');"
IRQ,Middle East & North Africa,Upper middle income,Iraq,"INSERT INTO country VALUES('IRQ','Middle East & North Africa','Upper middle income','Iraq');"
ISL,Europe & Central Asia,High income,Iceland,"INSERT INTO country VALUES('ISL','Europe & Central Asia','High income','Iceland');"
ISR,Middle East & North Africa,High income,Israel,"INSERT INTO country VALUES('ISR','Middle East & North Africa','High income','Israel');"
ITA,Europe & Central Asia,High income,Italy,"INSERT INTO country VALUES('ITA','Europe & Central Asia','High income','Italy');"
JAM,Latin America & Caribbean,Upper middle income,Jamaica,"INSERT INTO country VALUES('JAM','Latin America & Caribbean','Upper middle income','Jamaica');"
JOR,Middle East & North Africa,Upper middle income,Jordan,"INSERT INTO country VALUES('JOR','Middle East & North Africa','Upper middle income','Jordan');"
JPN,East Asia & Pacific,High income,Japan,"INSERT INTO country VALUES('JPN','East Asia & Pacific','High income','Japan');"
KAZ,Europe & Central Asia,Upper middle income,Kazakhstan,"INSERT INTO country VALUES('KAZ','Europe & Central Asia','Upper middle income','Kazakhstan');"
KEN,Sub-Saharan Africa,Lower middle income,Kenya,"INSERT INTO country VALUES('KEN','Sub-Saharan Africa','Lower middle income','Kenya');"
KGZ,Europe & Central Asia,Lower middle income,Kyrgyz Republic,"INSERT INTO country VALUES('KGZ','Europe & Central Asia','Lower middle income','Kyrgyz Republic');"
KHM,East Asia & Pacific,Lower middle income,Cambodia,"INSERT INTO country VALUES('KHM','East Asia & Pacific','Lower middle income','Cambodia');"
KIR,East Asia & Pacific,Lower middle income,Kiribati,"INSERT INTO country VALUES('KIR','East Asia & Pacific','Lower middle income','Kiribati');"
KNA,Latin America & Caribbean,High income,St. Kitts and Nevis,"INSERT INTO country VALUES('KNA','Latin America & Caribbean','High income','St. Kitts and Nevis');"
KOR,East Asia & Pacific,High income,"Korea, Rep.","INSERT INTO country VALUES('KOR','East Asia & Pacific','High income','Korea, Rep.');"
KWT,Middle East & North Africa,High income,Kuwait,"INSERT INTO country VALUES('KWT','Middle East & North Africa','High income','Kuwait');"
LAC,,,Latin America & Caribbean (excluding high income),"INSERT INTO country VALUES('LAC','','','Latin America & Caribbean (excluding high income)');"
LAO,East Asia & Pacific,Lower middle income,Lao PDR,"INSERT INTO country VALUES('LAO','East Asia & Pacific','Lower middle income','Lao PDR');"
LBN,Middle East & North Africa,Upper middle income,Lebanon,"INSERT INTO country VALUES('LBN','Middle East & North Africa','Upper middle income','Lebanon');"
LBR,Sub-Saharan Africa,Low income,Liberia,"INSERT INTO country VALUES('LBR','Sub-Saharan Africa','Low income','Liberia');"
LBY,Middle East & North Africa,Upper middle income,Libya,"INSERT INTO country VALUES('LBY','Middle East & North Africa','Upper middle income','Libya');"
LCA,Latin America & Caribbean,Upper middle income,St. Lucia,"INSERT INTO country VALUES('LCA','Latin America & Caribbean','Upper middle income','St. Lucia');"
LCN,,,Latin America & Caribbean,"INSERT INTO country VALUES('LCN','','','Latin America & Caribbean');"
LDC,,,Least developed countries: UN classification,"INSERT INTO country VALUES('LDC','','','Least developed countries: UN classification');"
LIC,,,Low income,"INSERT INTO country VALUES('LIC','','','Low income');"
LIE,Europe & Central Asia,High income,Liechtenstein,"INSERT INTO country VALUES('LIE','Europe & Central Asia','High income','Liechtenstein');"
LKA,South Asia,Upper middle income,Sri Lanka,"INSERT INTO country VALUES('LKA','South Asia','Upper middle income','Sri Lanka');"
LMC,,,Lower middle income,"INSERT INTO country VALUES('LMC','','','Lower middle income');"
LMY,,,Low & middle income,"INSERT INTO country VALUES('LMY','','','Low & middle income');"
LSO,Sub-Saharan Africa,Lower middle income,Lesotho,"INSERT INTO country VALUES('LSO','Sub-Saharan Africa','Lower middle income','Lesotho');"
LTE,,,Late-demographic dividend,"INSERT INTO country VALUES('LTE','','','Late-demographic dividend');"
LTU,Europe & Central Asia,High income,Lithuania,"INSERT INTO country VALUES('LTU','Europe & Central Asia','High income','Lithuania');"
LUX,Europe & Central Asia,High income,Luxembourg,"INSERT INTO country VALUES('LUX','Europe & Central Asia','High income','Luxembourg');"
LVA,Europe & Central Asia,High income,Latvia,"INSERT INTO country VALUES('LVA','Europe & Central Asia','High income','Latvia');"
MAC,East Asia & Pacific,High income,"Macao SAR, China","INSERT INTO country VALUES('MAC','East Asia & Pacific','High income','Macao SAR, China');"
MAF,Latin America & Caribbean,High income,St. Martin (French part),"INSERT INTO country VALUES('MAF','Latin America & Caribbean','High income','St. Martin (French part)');"
MAR,Middle East & North Africa,Lower middle income,Morocco,"INSERT INTO country VALUES('MAR','Middle East & North Africa','Lower middle income','Morocco');"
MCO,Europe & Central Asia,High income,Monaco,"INSERT INTO country VALUES('MCO','Europe & Central Asia','High income','Monaco');"
MDA,Europe & Central Asia,Lower middle income,Moldova,"INSERT INTO country VALUES('MDA','Europe & Central Asia','Lower middle income','Moldova');"
MDG,Sub-Saharan Africa,Low income,Madagascar,"INSERT INTO country VALUES('MDG','Sub-Saharan Africa','Low income','Madagascar');"
MDV,South Asia,Upper middle income,Maldives,"INSERT INTO country VALUES('MDV','South Asia','Upper middle income','Maldives');"
MEA,,,Middle East & North Africa,"INSERT INTO country VALUES('MEA','','','Middle East & North Africa');"
MEX,Latin America & Caribbean,Upper middle income,Mexico,"INSERT INTO country VALUES('MEX','Latin America & Caribbean','Upper middle income','Mexico');"
MHL,East Asia & Pacific,Upper middle income,Marshall Islands,"INSERT INTO country VALUES('MHL','East Asia & Pacific','Upper middle income','Marshall Islands');"
MIC,,,Middle income,"INSERT INTO country VALUES('MIC','','','Middle income');"
MKD,Europe & Central Asia,Upper middle income,North Macedonia,"INSERT INTO country VALUES('MKD','Europe & Central Asia','Upper middle income','North Macedonia');"
MLI,Sub-Saharan Africa,Low income,Mali,"INSERT INTO country VALUES('MLI','Sub-Saharan Africa','Low income','Mali');"
MLT,Middle East & North Africa,High income,Malta,"INSERT INTO country VALUES('MLT','Middle East & North Africa','High income','Malta');"
MMR,East Asia & Pacific,Lower middle income,Myanmar,"INSERT INTO country VALUES('MMR','East Asia & Pacific','Lower middle income','Myanmar');"
MNA,,,Middle East & North Africa (excluding high income),"INSERT INTO country VALUES('MNA','','','Middle East & North Africa (excluding high income)');"
MNE,Europe & Central Asia,Upper middle income,Montenegro,"INSERT INTO country VALUES('MNE','Europe & Central Asia','Upper middle income','Montenegro');"
MNG,East Asia & Pacific,Lower middle income,Mongolia,"INSERT INTO country VALUES('MNG','East Asia & Pacific','Lower middle income','Mongolia');"
MNP,East Asia & Pacific,High income,Northern Mariana Islands,"INSERT INTO country VALUES('MNP','East Asia & Pacific','High income','Northern Mariana Islands');"
MOZ,Sub-Saharan Africa,Low income,Mozambique,"INSERT INTO country VALUES('MOZ','Sub-Saharan Africa','Low income','Mozambique');"
MRT,Sub-Saharan Africa,Lower middle income,Mauritania,"INSERT INTO country VALUES('MRT','Sub-Saharan Africa','Lower middle income','Mauritania');"
MUS,Sub-Saharan Africa,Upper middle income,Mauritius,"INSERT INTO country VALUES('MUS','Sub-Saharan Africa','Upper middle income','Mauritius');"
MWI,Sub-Saharan Africa,Low income,Malawi,"INSERT INTO country VALUES('MWI','Sub-Saharan Africa','Low income','Malawi');"
MYS,East Asia & Pacific,Upper middle income,Malaysia,"INSERT INTO country VALUES('MYS','East Asia & Pacific','Upper middle income','Malaysia');"
NAC,,,North America,"INSERT INTO country VALUES('NAC','','','North America');"
NAM,Sub-Saharan Africa,Upper middle income,Namibia,"INSERT INTO country VALUES('NAM','Sub-Saharan Africa','Upper middle income','Namibia');"
NCL,East Asia & Pacific,High income,New Caledonia,"INSERT INTO country VALUES('NCL','East Asia & Pacific','High income','New Caledonia');"
NER,Sub-Saharan Africa,Low income,Niger,"INSERT INTO country VALUES('NER','Sub-Saharan Africa','Low income','Niger');"
NGA,Sub-Saharan Africa,Lower middle income,Nigeria,"INSERT INTO country VALUES('NGA','Sub-Saharan Africa','Lower middle income','Nigeria');"
NIC,Latin America & Caribbean,Lower middle income,Nicaragua,"INSERT INTO country VALUES('NIC','Latin America & Caribbean','Lower middle income','Nicaragua');"
NLD,Europe & Central Asia,High income,Netherlands,"INSERT INTO country VALUES('NLD','Europe & Central Asia','High income','Netherlands');"
NOR,Europe & Central Asia,High income,Norway,"INSERT INTO country VALUES('NOR','Europe & Central Asia','High income','Norway');"
NPL,South Asia,Low income,Nepal,"INSERT INTO country VALUES('NPL','South Asia','Low income','Nepal');"
NRU,East Asia & Pacific,Upper middle income,Nauru,"INSERT INTO country VALUES('NRU','East Asia & Pacific','Upper middle income','Nauru');"
NZL,East Asia & Pacific,High income,New Zealand,"INSERT INTO country VALUES('NZL','East Asia & Pacific','High income','New Zealand');"
OED,,,OECD members,"INSERT INTO country VALUES('OED','','','OECD members');"
OMN,Middle East & North Africa,High income,Oman,"INSERT INTO country VALUES('OMN','Middle East & North Africa','High income','Oman');"
OSS,,,Other small states,"INSERT INTO country VALUES('OSS','','','Other small states');"
PAK,South Asia,Lower middle income,Pakistan,"INSERT INTO country VALUES('PAK','South Asia','Lower middle income','Pakistan');"
PAN,Latin America & Caribbean,High income,Panama,"INSERT INTO country VALUES('PAN','Latin America & Caribbean','High income','Panama');"
PER,Latin America & Caribbean,Upper middle income,Peru,"INSERT INTO country VALUES('PER','Latin America & Caribbean','Upper middle income','Peru');"
PHL,East Asia & Pacific,Lower middle income,Philippines,"INSERT INTO country VALUES('PHL','East Asia & Pacific','Lower middle income','Philippines');"
PLW,East Asia & Pacific,High income,Palau,"INSERT INTO country VALUES('PLW','East Asia & Pacific','High income','Palau');"
PNG,East Asia & Pacific,Lower middle income,Papua New Guinea,"INSERT INTO country VALUES('PNG','East Asia & Pacific','Lower middle income','Papua New Guinea');"
POL,Europe & Central Asia,High income,Poland,"INSERT INTO country VALUES('POL','Europe & Central Asia','High income','Poland');"
PRE,,,Pre-demographic dividend,"INSERT INTO country VALUES('PRE','','','Pre-demographic dividend');"
PRI,Latin America & Caribbean,High income,Puerto Rico,"INSERT INTO country VALUES('PRI','Latin America & Caribbean','High income','Puerto Rico');"
PRK,East Asia & Pacific,Low income,"Korea, Dem. People's Rep.","INSERT INTO country VALUES('PRK','East Asia & Pacific','Low income','Korea, Dem. People's Rep.');"
PRT,Europe & Central Asia,High income,Portugal,"INSERT INTO country VALUES('PRT','Europe & Central Asia','High income','Portugal');"
PRY,Latin America & Caribbean,Upper middle income,Paraguay,"INSERT INTO country VALUES('PRY','Latin America & Caribbean','Upper middle income','Paraguay');"
PSE,Middle East & North Africa,Lower middle income,West Bank and Gaza,"INSERT INTO country VALUES('PSE','Middle East & North Africa','Lower middle income','West Bank and Gaza');"
PSS,,,Pacific island small states,"INSERT INTO country VALUES('PSS','','','Pacific island small states');"
PST,,,Post-demographic dividend,"INSERT INTO country VALUES('PST','','','Post-demographic dividend');"
PYF,East Asia & Pacific,High income,French Polynesia,"INSERT INTO country VALUES('PYF','East Asia & Pacific','High income','French Polynesia');"
QAT,Middle East & North Africa,High income,Qatar,"INSERT INTO country VALUES('QAT','Middle East & North Africa','High income','Qatar');"
ROU,Europe & Central Asia,Upper middle income,Romania,"INSERT INTO country VALUES('ROU','Europe & Central Asia','Upper middle income','Romania');"
RUS,Europe & Central Asia,Upper middle income,Russian Federation,"INSERT INTO country VALUES('RUS','Europe & Central Asia','Upper middle income','Russian Federation');"
RWA,Sub-Saharan Africa,Low income,Rwanda,"INSERT INTO country VALUES('RWA','Sub-Saharan Africa','Low income','Rwanda');"
SAS,,,South Asia,"INSERT INTO country VALUES('SAS','','','South Asia');"
SAU,Middle East & North Africa,High income,Saudi Arabia,"INSERT INTO country VALUES('SAU','Middle East & North Africa','High income','Saudi Arabia');"
SDN,Sub-Saharan Africa,Lower middle income,Sudan,"INSERT INTO country VALUES('SDN','Sub-Saharan Africa','Lower middle income','Sudan');"
SEN,Sub-Saharan Africa,Lower middle income,Senegal,"INSERT INTO country VALUES('SEN','Sub-Saharan Africa','Lower middle income','Senegal');"
SGP,East Asia & Pacific,High income,Singapore,"INSERT INTO country VALUES('SGP','East Asia & Pacific','High income','Singapore');"
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,"INSERT INTO country VALUES('SLB','East Asia & Pacific','Lower middle income','Solomon Islands');"
SLE,Sub-Saharan Africa,Low income,Sierra Leone,"INSERT INTO country VALUES('SLE','Sub-Saharan Africa','Low income','Sierra Leone');"
SLV,Latin America & Caribbean,Lower middle income,El Salvador,"INSERT INTO country VALUES('SLV','Latin America & Caribbean','Lower middle income','El Salvador');"
SMR,Europe & Central Asia,High income,San Marino,"INSERT INTO country VALUES('SMR','Europe & Central Asia','High income','San Marino');"
SOM,Sub-Saharan Africa,Low income,Somalia,"INSERT INTO country VALUES('SOM','Sub-Saharan Africa','Low income','Somalia');"
SRB,Europe & Central Asia,Upper middle income,Serbia,"INSERT INTO country VALUES('SRB','Europe & Central Asia','Upper middle income','Serbia');"
SSA,,,Sub-Saharan Africa (excluding high income),"INSERT INTO country VALUES('SSA','','','Sub-Saharan Africa (excluding high income)');"
SSD,Sub-Saharan Africa,Low income,South Sudan,"INSERT INTO country VALUES('SSD','Sub-Saharan Africa','Low income','South Sudan');"
SSF,,,Sub-Saharan Africa,"INSERT INTO country VALUES('SSF','','','Sub-Saharan Africa');"
SST,,,Small states,"INSERT INTO country VALUES('SST','','','Small states');"
STP,Sub-Saharan Africa,Lower middle income,São Tomé and Principe,"INSERT INTO country VALUES('STP','Sub-Saharan Africa','Lower middle income','São Tomé and Principe');"
SUR,Latin America & Caribbean,Upper middle income,Suriname,"INSERT INTO country VALUES('SUR','Latin America & Caribbean','Upper middle income','Suriname');"
SVK,Europe & Central Asia,High income,Slovak Republic,"INSERT INTO country VALUES('SVK','Europe & Central Asia','High income','Slovak Republic');"
